,Title,Based on,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompanies,Distributed by,Narrated by,Created by,Genre,Color process,Release dates,Running time,Country,Language,Budget,Box office
0,Academy Award Review of Walt Disney Cartoons,,,,,,,,,,,Walt Disney Productions,United Artists,,,,,",May 19, 1937 (1937-05-19),",41 minutes (74 minutes 1966 release),United States,English,,$45.472
1,Snow White and the Seven Dwarfs,Snow Whiteby The Brothers Grimm,"Supervising Director ,David Hand,,Sequence Directors ,William Cottrell,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen,",",Ted Sears,Richard Creedon,Otto Englander,Dick Rickard,Earl Hurd,Merrill De Maris,Dorothy Ann Blank,Webb Smith,",,,Walt Disney,",Adriana Caselotti,Lucille La Verne,Harry Stockwell,Roy Atwell,Pinto Colvig,Otis Harlan,Scotty Mattraw,Billy Gilbert,Eddie Collins,Moroni Olsen,Stuart Buchanan,",,,",Frank Churchill,Paul Smith,Leigh Harline,",Walt Disney Productions,RKO Radio Pictures,,,,,",December 21, 1937 (1937-12-21) (Carthay Circle Theatre),February 4, 1938 (1938-02-04) (United States),",83 minutes,United States,English,$1.49 million[1],$418 million[2]
2,Pinocchio,The Adventures of Pinocchioby Carlo Collodi,"Supervising Directors,Ben Sharpsteen,Hamilton Luske,Sequence Directors,Bill Roberts,Norman Ferguson,Jack Kinney,Wilfred Jackson,T. Hee,",,,Ted SearsOtto EnglanderWebb SmithWilliam CottrellJoseph SaboErdman PennerAurelius Battaglia,Walt Disney,",Cliff Edwards,Dickie Jones,Christian Rub,Walter Catlett,Charles Judels,Evelyn Venable,Frankie Darro,",,,Leigh HarlinePaul J. Smith,Walt Disney Productions,RKO Radio Pictures,,,,,",February 7, 1940 (1940-02-07) (Center Theatre)[1],February 23, 1940 (1940-02-23) (United States)[2],",88 minutes,United States,English,$2.6 million[3],$164 million
3,Fantasia,,",Samuel Armstrong,James Algar,Bill Roberts,Paul Satterfield,Ben Sharpsteen,David D. Hand,Hamilton Luske,Jim Handley,Ford Beebe,T. Hee,Norman Ferguson,Wilfred Jackson,",,,",Joe Grant,Dick Huemer,",",Walt Disney,Ben Sharpsteen,",",Leopold Stokowski,Deems Taylor,",James Wong Howe,,See program,Walt Disney Productions,RKO Radio Pictures,Deems Taylor,,,,",November 13, 1940 (1940-11-13),",126 minutes[1],United States,English,$2.28 million[2][3],$76.4–$83.3 million (United States and Canada)[4][5]
4,Dumbo,"Dumbo, the Flying Elephantby Helen AbersonHarold Pearl","Supervising Director ,Ben Sharpsteen,,Sequence Directors ,Norman Ferguson,Wilfred Jackson,Bill Roberts,Jack Kinney,Samuel Armstrong,",,,",Joe Grant,Dick Huemer,",Walt Disney,",Edward Brophy,Verna Felton,Cliff Edwards,Herman Bing,Sterling Holloway,Margaret Wright,Hall Johnson Choir,",,,Frank ChurchillOliver Wallace,Walt Disney Productions,RKO Radio Pictures,John McLeish,,,,",October 23, 1941 (1941-10-23) (New York City)[1],October 31, 1941 (1941-10-31) (U.S.),",64 minutes,United States,English,"$950,000[2]",">$1.3 million (est. United States/Canada rentals, 1941)[3]"
5,Bambi,"Bambi, a Life in the Woodsby Felix Salten",Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright,,,Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,Walt Disney,see below,,,Frank ChurchillEdward H. Plumb,Walt Disney Productions,RKO Radio Pictures,,,,,",August 9, 1942 (1942-08-09) (World Premiere – London),August 13, 1942 (1942-08-13) (Premiere – New York City),August 21, 1942 (1942-08-21) (U.S.)[1],",70 minutes,United States,English,"$858,000[2]",$267.4 million[3]
6,Saludos Amigos,,",Norman Ferguson,Wilfred Jackson,Jack Kinney,Hamilton Luske,Bill Roberts,",,,",Homer Brightman,William Cottrell,Richard Huemer,Joe Grant,Harold Reeves,Ted Sears,Webb Smith,Roy Williams,Ralph Wright,",Walt Disney,",Lee Blair,Mary Blair,Pinto Colvig,Walt Disney,Norman Ferguson,Frank Graham,Clarence Nash,José Oliveira,Frank Thomas,",,,",Paul Smith,Edward H. Plumb,",Walt Disney Productions,RKO Radio Pictures,Fred Shields,,,,",August 24, 1942 (1942-08-24) (World Premiere – Rio de Janeiro),February 6, 1943 (1943-02-06) (U.S. Premiere – Boston),February 19, 1943 (1943-02-19) (U.S.)[1],",42 minutes,United States,",English,Portuguese,Spanish,",,$1.135 million (worldwide rentals) [2]
7,Victory Through Air Power,Victory Through Air Power by Maj. Alexander P. Seversky, Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter,Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez,,,Walt Disney,Alexander de Seversky,Ray Rennahan,Jack Dennis,Edward H. Plumb  Paul J. Smith  Oliver Wallace,Walt Disney Productions,United Artists,Art Baker,,,,",July 17, 1943 (1943-07-17),",70 min,United States,English,"$788,000","$799,000"
8,The Three Caballeros,,"Supervising Director ,Norman Ferguson,,Sequence Directors ,Clyde Geronimi,Jack Kinney,Bill Roberts,Harold Young,",,,",Homer Brightmen,Ernest Terrazas,Ted Sears,Bill Peet,Ralph Wright,Elmer Plummer,Roy Williams,William Cottrell,Del Connell,James Bodrero,",Walt Disney,",Clarence Nash,José Oliveira,Joaquin Garay,",,,",Edward H. Plumb,Paul J. Smith,Charles Wolcott,",Walt Disney Productions,RKO Radio Pictures,,,,,",December 21, 1944 (1944-12-21) (Mexico City),February 3, 1945 (1945-02-03) (US)[1],",71 minutes,United States,",English,Spanish,Portuguese,",,$3.355 million (worldwide rentals)[2]
9,Make Mine Music,"""Casey at the Bat""by Ernest ThayerPeter and the Wolfby Sergei Prokofiev",",Jack Kinney,Clyde Geronimi,Hamilton Luske,Joshua Meador,Robert Cormack,",,,James BodreroHomer BrightmanErwin GrahamEric GurneyT. HeeSylvia HollandDick HuemerDick KelseyDick KinneyJesse MarshTom OrebCap PalmerErdman PennerDick ShawHarry ReevesJohn WalbridgeRoy Williams,Walt Disney,"Nelson Eddy,",,,",Eliot Daniel,Ken Darby,Charles Wolcott,Oliver Wallace,Edward Plumb,",Walt Disney Productions,"RKO Radio Pictures, Inc.",,,,,",April 20, 1946 (1946-04-20) (New York City premiere)[1],August 15, 1946 (1946-08-15) (U.S.)[1],",75 minutes,United States,English,$1.35 million[2],$3.275 million (worldwide rentals)[3]
