,address,lat,long,at_this_location
0,"Yorkshire Bank Plc, 1a Peel Square, S70 2PL",53.5523305,-1.4827506,
1,"50 Lisson Street, NW1 5DF",51.521195,-0.1699221,
2,"THIRD FLOOR, 50 Lisson Street, NW1 5DF",51.521195,-0.1699221,
3,"UNIT 1, 50 Lisson Street, NW1 5DF",51.521195,-0.1699221,"Thabet International Ltd· 50 Lisson St,Tilco Trading Limited· 50 Lisson St,"
4,"UNIT 3, 50 Lisson Street, NW1 5DF",51.521195,-0.1699221,"Thabet International Ltd· 50 Lisson St,Tilco Trading Limited· 50 Lisson St,"
5,"UNIT 4 - 3RD FLOOR, 50 Lisson Street, NW1 5DF",51.521195,-0.1699221,"Thabet International Ltd· 50 Lisson St,Tilco Trading Limited· 50 Lisson St,"
6,"22 Saville Row, NE1 8JE",54.9755885,-1.6130078,"Thorns Nail & Beauty newcastle branch3.3(199)Nail salon · Floor GOpen ⋅ Closes 5PM,"
7,"Unit 16, First Avenue, DH2 1AG",54.8762929,-1.587447,
8,"Morse Point Menswear Ltd, Royal Square, LA23 3ED",54.3644349,-2.9219843,
9,"Punch Bowl, Old Bath Road, SL3 0PH",51.4798839,-0.5155913,
