,prod_title,vendor,price,OEM Make,Part Number,Dimensions,Outside Diameter,Length,Inside Diameter,Top,Bottom,Shape,Approx. Square Footage of Filter Media
0,1673219-1 - Donaldson - OEM Replacement Filter,Donaldson Torit,$92.00,Donaldson,1673219-1,9.48 x 13.84 x 28,"13.84""","28""","9.48""",Open,Open,Round with 1 band,136
1,1921501 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,1921501,8.38 x 12.74 x 26,"12.74""","26""","8.38""",Open ,"Closed with a 0.53"" bolt hole",Round,220
2,1960000 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,1960000,8.38 x 12.74 x 26,"12.74""","26.00""","8.38""",Open,"Closed with a 0.53"" bolt hole",Round,224
3,2134700 - Torit - Donaldson Filters - Replacement,Torit,$90.00,Torit,2134700,8.38 x 12.74 x 26.00,"12.74""","26.00""","8.38""",Open,"Closed with a 0.54"" bolt hole",Round,224
4,2226900 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,2226900,8.38 x 12.74 x 26,"12.74""","26.00""","8.38""",Open,Open,Round with inner/outer expanded metal,224
5,2309900 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,2309900,8.38 x 12.74 x 26,"12.74""","26.00""","8.38""",Open,Open,Round with an expanded metal inner/outer core,224
6,2400900 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,2400900,8.38 x 12.74 x 26,"12.74""","26.00""","8.38""",Open,Open,Round,220
7,262-5115-Donaldson Torit OEM Replacement-Filter,Donaldson Torit,$205.00,Donaldson Torit,,11.4 x 14.4 x 26," 14.38""","26.00""","11.38""",Open,Open,Oval,180
8,262-5947 - Donaldson - OEM Replacement Filter,Donaldson Torit,$98.00,Donaldson,262-5947,9.48 x 13.84 x 26,"13.84""","26.00""","9.48""",Open,Closed w/ bolt hole,Round,254
9,3253700 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,3253700,"9.48"" x 13.84"" x 26""",13.84,26,9.48,Open,Open,Round,222
10,32582-00 - Torit - OEM Replacement Filter,Torit,$88.00,Torit,32582-00,14.25 x 16 Flng/CL,12.75,26,,,,Flange,226
11,3EA-24740-00 - Donaldson Torit - donaldsonfilters - Replacement,Donaldson Torit,$120.00,Donaldson Torit,3EA-24740-00,"10.60"" x 13.82"" x 9.70","13.82""","9.70""","10.60""",Open with a flange,Closed,Round,106
12,3EA-24741-00 - Donaldson Filters - donaldsonfilters - Replacement,Donaldson Torit,$150.00,Donaldson Torit,3EA-24741-00,10.60 x 16.63 x 20,"16.63""","20""","10.60""",Open with a flange,Closed,Round,223
13,3EA-24742-00 - Donaldson Torit - OEM Replacement Filter,Donaldson Torit,$170.00,Donaldson Torit,3EA-24742-00,10.50 x 13.84 x 26,"13.84""","26.00""","10.50""","Open with a gasket and a 16.62"" round lip gasket flange",Closed,Round,236.34
14,3EA-35877-01 - Donaldson Torit - OEM Replacement Filter,Donaldson Torit,$160.00,Donaldson Torit,3EA-35877-01,11.50 x 16.00 x 12.00,"16.00""","12.00""","11.50""",Open,Closed,Round with inner and outer expanded metal and pre-wrap,123.58
15,3EA-35877-02 - Donaldson Torit - OEM Replacement Filter,Donaldson Torit,$300.00,Donaldson Torit,3EA-35877-02,14.14 x 18.96 x 20,18.75,"20.00""","14.00""",Open,Closed,Round with pre-wrap,151
16,3EA-35877-03 - Donaldson Torit - OEM Replacement Filter,Donaldson Torit,$258.00,Donaldson Torit,3EA-35877-03,17.62 x 22.48 x 25,"22.48""","25""","17.62""",Open,Closed,Round with a outer pre-wrap, 306
17,3EA-39652-01 - Donaldson Torit - OEM Replacement Filter,Donaldson Torit,$74.00,Donaldson Torit,3EA-39652-01,6.50 x 10.88 x 8.13,"10.84""","8.13""","6.50""",Open,Closed,Round with a pre-wrap,48
18,4076400 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,4076400,8.38 x 12.74 x 26 ," 12.74""","26.00""","8.38""",Open,"Closed with a 0.53"" bolt hole",Round,250
19,4236000 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,4236000,8.34 x 12.74 x 26,12.74,26,8.38,Open,Open,Round,110
20,4236100 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,4236100,Bolt Hole,12.74,26,8.38,Open,Closed,Round,110
21,4410300 - Torit - OEM Replacement Filter,Torit,$90.00,Torit,4410300,,13.84,26,9.48,Open,Open,Round,125
22,4456200 - Torit - OEM Replacement Filter,Torit,$85.00,Torit,4456200 (8PP-44562-00),9.48 x 13.84 x 25.25,"13.84""","25.25""","9.48""  ",Open,Open ,Round with inner/outer expanded metal,250
23,4596700 - Torit - OEM Replacement Filter,Torit,$92.00,Torit,4596700,Bolt Hole,7.93,16,3.57,OPEN,CLOSED,Round,53
24,4810500 - Torit - OEM Replacement Filter,Torit,$85.00,Torit,4810500,9.48 x 13.84 x 26,"13.84""","26.00""","9.48""",Open,Open,Round with inner and expanded metal,240
25,4810700 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,4810700,8.38 x 12.74 x 26,12.74,26,8.38,Open,Open,Round,222
26,48506 - Donaldson - OEM Replacement Filter,Donaldson Torit,$291.88,Donaldson,48506,,13.84,26,9.48,OPEN,OPEN,Round,61
27,7244901 - Torit - OEM Replacement Filter,Torit,$95.00,Torit,7244901,9.48 x 13.84 x 26,13.84,26,9.48,Open,Open,Round,122
28,7245001 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,7245001,8.38 x 12.74 x 26,12.74,26,8.38,Open,Open,Round,110
29,7245101 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,7245101,Bolt Hole,12.74,26,8.38,Open,Closed,Round,224
30,7245601 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,7245601,8.38 x 12.74 x 26,12.74,26,8.38,Open,Open,Round,222
31,7245701 - Torit - OEM Replacement Filter,Torit,$75.00,Torit,7245701,8.38 x 12.74 x 26.00,"12.74""","26.00""","8.38""",Open,"Closed with a 0.53"" bolt hole",Round,224
