,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
0,TUE 1,2008-01-01 13:00,日本天皇盃,廣島三箭,鹿島鹿角,4.4204,3.4870,1.6924,4.4685,3.4900,1.6993,---,---,---,4.75,3.65,1.57,0.4908,0.1110,0.1304,0.0374,0.3606,0.2131,0.5176,0.1158,0.1034,0.0296,0.3599,0.2118,,,,,,,---,---,---,2.5,1.80,1.90,,,,,,,,0 , 1,0 , 2,A,
1,TUE 2,2008-01-01 20:45,英格蘭超級聯賽,富咸,車路士,6.6793,3.8421,1.4735,6.3025,3.7629,1.5137,---,---,---,5.70,3.70,1.50,0.5251,0.0786,0.2292,0.0597,0.0537,0.0365,0.5049,0.0801,0.1954,0.0519,0.0778,0.0514,,,,,,,---,---,---,2.5,2.02,1.70,,,,,,,,1 , 0,1 , 2,A,
2,TUE 3,2008-01-01 21:00,英格蘭冠軍聯賽,卡迪夫城,普利茅夫,2.1088,3.2105,3.1879,2.1137,3.2123,3.2121,---,---,---,2.15,3.20,2.90,0.0660,0.0313,0.0992,0.0309,0.2108,0.0661,0.0669,0.0317,0.1019,0.0317,0.2146,0.0668,---,---,---,0/-0.5,1.84,2.00,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,1 , 0,H,
3,TUE 4,2008-01-01 21:00,英格蘭甲組聯賽,卡素爾,哈特普爾,1.8463,3.2757,3.8710,1.8743,3.2515,3.8185,---,---,---,1.88,3.20,3.60,0.0776,0.0420,0.1228,0.0375,0.2609,0.0674,0.1057,0.0564,0.1042,0.0320,0.2504,0.0656,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 1,4 , 2,H,
4,TUE 5,2008-01-01 21:00,英格蘭甲組聯賽,修安聯,布里斯托流浪,1.8044,3.2850,4.0367,1.8165,3.2826,4.0090,---,---,---,1.85,3.25,3.65,0.0642,0.0356,0.1086,0.0331,0.2244,0.0556,0.0724,0.0399,0.1041,0.0317,0.2241,0.0559,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 0,0 , 1,A,
5,TUE 6,2008-01-01 21:00,英格蘭甲組聯賽,史雲頓,史雲斯,2.8863,3.2029,2.2336,2.9007,3.2088,2.2349,---,---,---,2.85,3.25,2.15,0.1726,0.0598,0.1142,0.0357,0.0770,0.0345,0.1848,0.0637,0.1173,0.0366,0.0713,0.0319,---,---,---,0/+0.5,1.94,1.90,---,---,---,2.5,1.80,1.90,,,,,,,,0 , 0,1 , 1,D,
6,TUE 7,2008-01-01 23:00,英格蘭超級聯賽,阿仙奴,韋斯咸,1.3106,4.6378,9.1801,1.3131,4.6869,9.0679,---,---,---,1.28,4.50,9.00,0.0279,0.0213,0.3658,0.0789,0.9096,0.0991,0.0437,0.0333,0.3359,0.0717,0.8218,0.0906,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,2 , 0,2 , 0,H,
7,TUE 8,2008-01-01 23:00,英格蘭超級聯賽,曼聯,伯明翰,1.1566,6.4059,15.1348,1.1535,6.4905,15.8203,---,---,---,1.10,6.50,20.00,0.0226,0.0196,0.7245,0.1131,3.2402,0.2141,0.0271,0.0235,0.7147,0.1101,3.5450,0.2241,,,,,,,---,---,---,2.5,1.60,2.19,,,,,,,,1 , 0,1 , 0,H,
8,TUE 9,2008-01-01 23:00,英格蘭超級聯賽,米杜士堡,愛華頓,2.8708,3.1919,2.3393,2.8764,3.1821,2.3677,---,---,---,2.62,3.25,2.35,0.1565,0.0545,0.0924,0.0290,0.0801,0.0342,0.1538,0.0535,0.0999,0.0314,0.1023,0.0432,---,---,---,0/+0.5,1.75,2.12,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,0 , 2,A,
9,TUE 10,2008-01-01 23:00,英格蘭超級聯賽,雷丁,樸茨茅夫,2.6301,3.1876,2.5373,2.6045,3.1889,2.5931,---,---,---,2.50,3.20,2.50,0.1316,0.0500,0.1112,0.0349,0.0935,0.0368,0.1036,0.0398,0.1044,0.0327,0.1249,0.0481,---,---,---,0,1.89,1.95,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 1,0 , 2,A,
10,TUE 11,2008-01-01 23:00,英格蘭冠軍聯賽,黑池,般尼,2.3578,3.1648,2.7673,2.3345,3.1668,2.8215,---,---,---,2.20,3.20,2.80,0.1078,0.0457,0.1425,0.0450,0.1646,0.0595,0.0821,0.0352,0.1415,0.0447,0.1939,0.0687,---,---,---,0/-0.5,1.97,1.87,---,---,---,2.5,1.95,1.75,,,,,,,,1 , 0,3 , 0,H,
11,TUE 12,2008-01-01 23:00,英格蘭冠軍聯賽,布里斯托城,高雲地利,1.8013,3.3136,4.0855,1.8149,3.3097,4.0815,---,---,---,1.85,3.25,3.65,0.0558,0.0310,0.1461,0.0441,0.2725,0.0667,0.0696,0.0383,0.1375,0.0415,0.2636,0.0646,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,2 , 1,H,
12,TUE 13,2008-01-01 23:00,英格蘭冠軍聯賽,查爾頓,高車士打,1.4935,3.7211,6.1430,1.5081,3.7071,6.0685,---,---,---,1.55,3.45,5.40,0.0466,0.0312,0.2276,0.0612,0.4877,0.0794,0.0568,0.0377,0.2012,0.0543,0.4499,0.0741,,,,,,,---,---,---,2.5,1.78,1.92,,,,,,,,1 , 2,1 , 2,A,
13,TUE 14,2008-01-01 23:00,英格蘭冠軍聯賽,水晶宮,諾域治,1.7620,3.3300,4.2970,1.7501,3.3549,4.3906,---,---,---,1.78,3.20,4.00,0.0713,0.0404,0.1465,0.0440,0.4027,0.0937,0.0585,0.0334,0.1634,0.0487,0.4160,0.0948,,,,,,,---,---,---,2.5,2.02,1.70,,,,,,,,0 , 1,1 , 1,D,
14,TUE 15,2008-01-01 23:00,英格蘭冠軍聯賽,葉士域治,西布朗,2.5212,3.1907,2.5574,2.6053,3.1940,2.4984,---,---,---,2.45,3.35,2.40,0.1225,0.0486,0.1594,0.0500,0.0854,0.0334,0.1799,0.0690,0.1513,0.0474,0.0915,0.0366,---,---,---,0,2.08,1.78,---,---,---,2.5,1.62,2.15,,,,,,,,0 , 0,2 , 0,H,
15,TUE 16,2008-01-01 23:00,英格蘭冠軍聯賽,昆士柏流浪,李斯特城,2.1515,3.1910,3.0959,2.1666,3.1949,3.0905,---,---,---,2.20,3.10,2.90,0.0829,0.0385,0.1251,0.0392,0.1519,0.0491,0.0893,0.0412,0.1315,0.0412,0.1422,0.0460,---,---,---,0/-0.5,2.00,1.84,---,---,---,2.5,2.10,1.65,,,,,,,,2 , 0,3 , 1,H,
16,TUE 17,2008-01-01 23:00,英格蘭冠軍聯賽,斯肯索普,班士利,2.2945,3.1904,2.8363,2.3147,3.1927,2.8296,---,---,---,2.25,3.20,2.75,0.0810,0.0353,0.1314,0.0412,0.1096,0.0386,0.1007,0.0435,0.1350,0.0423,0.1026,0.0363,---,---,---,0/-0.5,2.08,1.78,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,2 , 2,D,
17,TUE 18,2008-01-01 23:00,英格蘭冠軍聯賽,錫周三,普雷斯頓,2.0342,3.2093,3.3585,2.1194,3.1885,3.2246,---,---,---,2.15,3.20,2.90,0.0673,0.0331,0.1180,0.0368,0.1714,0.0510,0.1497,0.0706,0.1178,0.0370,0.1684,0.0522,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 1,2 , 1,H,
18,TUE 19,2008-01-01 23:00,英格蘭冠軍聯賽,修咸頓,屈福特,2.3785,3.1902,2.7111,2.3755,3.2123,2.7303,---,---,---,2.30,3.25,2.62,0.0657,0.0276,0.1657,0.0520,0.1204,0.0444,0.0750,0.0316,0.1606,0.0500,0.1359,0.0498,---,---,---,0,1.77,2.09,---,---,---,2.5,1.82,1.88,,,,,,,,0 , 1,0 , 3,A,
19,TUE 20,2008-01-01 23:00,英格蘭冠軍聯賽,史篤城,侯城,1.8103,3.2873,4.0778,1.8431,3.2691,4.0322,---,---,---,1.85,3.30,3.60,0.0731,0.0404,0.1247,0.0379,0.2710,0.0665,0.1052,0.0571,0.1226,0.0375,0.2494,0.0619,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,1 , 1,D,
20,TUE 21,2008-01-01 23:00,英格蘭冠軍聯賽,狼隊,錫菲聯,1.9566,3.2216,3.5894,2.0012,3.2137,3.5070,---,---,---,2.05,3.10,3.20,0.0977,0.0499,0.1183,0.0367,0.2222,0.0619,0.1185,0.0592,0.1127,0.0351,0.2149,0.0613,,,,,,,---,---,---,2.5,2.19,1.60,,,,,,,,0 , 0,0 , 0,D,
21,TUE 22,2008-01-01 23:00,英格蘭甲組聯賽,白禮頓,般尼茅夫,1.7266,3.3569,4.3468,1.7435,3.3490,4.2904,---,---,---,1.75,3.30,4.05,0.0479,0.0277,0.1232,0.0367,0.2547,0.0586,0.0661,0.0379,0.1211,0.0362,0.2253,0.0525,,,,,,,---,---,---,2.5,1.82,1.88,,,,,,,,1 , 1,3 , 2,H,
22,TUE 23,2008-01-01 23:00,英格蘭甲組聯賽,克魯,燦美爾,2.5713,3.1730,2.4978,2.6807,3.1772,2.4180,---,---,---,2.75,3.10,2.30,0.1733,0.0674,0.1051,0.0331,0.1087,0.0435,0.2543,0.0949,0.1064,0.0335,0.1334,0.0552,---,---,---,0/+0.5,1.84,2.00,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 2,4 , 3,H,
23,TUE 24,2008-01-01 23:00,英格蘭甲組聯賽,列斯聯,奧咸,1.5184,3.6376,5.7845,1.5324,3.6310,5.6574,---,---,---,1.60,3.35,5.00,0.0479,0.0316,0.1822,0.0501,0.3736,0.0646,0.0616,0.0402,0.1878,0.0517,0.3526,0.0623,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 3,1 , 3,A,
24,TUE 25,2008-01-01 23:00,英格蘭甲組聯賽,奧連特,基寧咸,1.7901,3.3253,4.0552,1.8274,3.3071,3.9309,---,---,---,1.82,3.25,3.75,0.0752,0.0420,0.1271,0.0382,0.2937,0.0724,0.1000,0.0547,0.1049,0.0317,0.2434,0.0619,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 0,0 , 0,D,
25,TUE 26,2008-01-01 23:00,英格蘭甲組聯賽,盧頓,伊奧維,2.1570,3.1929,3.0330,2.1194,3.2006,3.1373,---,---,---,2.05,3.10,3.20,0.0716,0.0332,0.1032,0.0323,0.1943,0.0641,0.0848,0.0400,0.1076,0.0336,0.2814,0.0897,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,0 , 0,1 , 0,H,
26,TUE 27,2008-01-01 23:00,英格蘭甲組聯賽,諾咸頓,米禾爾,2.2322,3.1979,2.8878,2.2317,3.1991,2.9092,---,---,---,2.15,3.20,2.90,0.0755,0.0338,0.0982,0.0307,0.1421,0.0492,0.0771,0.0345,0.1013,0.0317,0.1552,0.0533,---,---,---,0/-0.5,1.96,1.88,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,1 , 1,D,
27,TUE 28,2008-01-01 23:00,英格蘭甲組聯賽,諾定咸森林,哈特斯菲爾德,1.6019,3.4949,5.1191,1.5969,3.5168,5.1980,---,---,---,1.62,3.40,4.75,0.0400,0.0250,0.1696,0.0485,0.4267,0.0834,0.0426,0.0267,0.1820,0.0517,0.4770,0.0918,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 1,2 , 1,H,
28,TUE 29,2008-01-01 23:00,英格蘭甲組聯賽,華素爾,唐卡士打,2.2671,3.1763,2.8557,2.2995,3.1750,2.8306,---,---,---,2.30,3.10,2.75,0.1001,0.0441,0.0942,0.0297,0.1380,0.0483,0.1256,0.0546,0.1014,0.0319,0.1216,0.0430,---,---,---,0/-0.5,2.14,1.74,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,1 , 1,D,
29,TUE 30,2008-01-02 01:20,英格蘭超級聯賽,阿士東維拉,熱刺,2.3060,3.2051,2.9201,2.3478,3.1814,2.9026,---,---,---,2.25,3.30,2.75,0.1280,0.0555,0.1349,0.0421,0.1567,0.0537,0.1223,0.0521,0.1314,0.0413,0.1342,0.0462,---,---,---,0/-0.5,2.11,1.76,---,---,---,2.5,1.65,2.10,,,,,,,,1 , 0,2 , 1,H,
